,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
29246,29246,city scrape,2506 Flat Moderno Vista Fabulosa 350m Praia Leblon,2022-10-13,,within an hour,100%,100%,t,Leblon,7.0,9.0,t,,Leblon,Entire condo,Entire home/apt,4,1.0,1.0,1.0,"$2,000.00",1,365,1,1,1125,1125,t,10,40,65,137,24,24,5,2024-06-16,2024-12-13,5.0,5.0,5.0,4.96,5.0,5.0,4.88,t,7,7,0,0,3.67
29247,29247,city scrape,Beautiful room in Copacabana.,2023-10-01,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,3.0,3.0,t,"Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,2,0.5,1.0,1.0,$328.00,2,90,2,5,90,90,t,7,22,45,104,30,30,3,2024-04-22,2024-12-20,4.97,5.0,4.93,5.0,4.83,4.9,4.93,f,3,0,3,0,3.59
29248,29248,city scrape,"Lindo quarto e sala, metrô pertinho,  reformado!",2022-09-11,,within an hour,100%,67%,f,Centro,2.0,5.0,t,,Centro,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,$732.00,1,365,1,1,365,365,t,29,59,89,269,1,1,0,2024-07-28,2024-07-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,2,0,0,0.2
29249,29249,city scrape,"Copa PRAIA 200m, piscina,academia,shopping ao lado",2024-04-10,,within a few hours,90%,47%,f,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"$1,423.00",2,30,1,2,30,30,t,3,30,48,213,7,7,2,2024-06-16,2024-12-11,4.14,4.14,4.0,5.0,4.71,4.29,4.29,f,1,1,0,0,1.07
29251,29251,city scrape,Copacabana kees,2024-04-10,,within an hour,100%,100%,t,Copacabana,2.0,2.0,t,,Copacabana,Entire condo,Entire home/apt,4,1.0,0.0,3.0,$482.00,1,730,1,1,1125,1125,t,23,47,65,245,13,13,2,2024-05-08,2024-12-12,4.62,4.77,4.69,4.85,4.92,4.92,4.46,t,2,1,1,0,1.66
29252,29252,city scrape,Amazing 2bdr in Copacabana.,2021-03-11,,within a few hours,94%,78%,f,Botafogo,58.0,104.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,"$1,886.00",3,365,2,5,365,365,t,0,2,5,23,22,22,1,2024-05-05,2024-12-09,4.82,4.95,4.91,4.77,4.68,4.86,4.86,f,44,44,0,0,2.77
29253,29253,city scrape,Leblon - Apt. novo 3 quartos,2024-04-10,,a few days or more,0%,44%,f,Leblon,1.0,1.0,t,,Leblon,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,"$3,000.00",4,15,4,4,15,15,t,10,10,10,10,2,2,0,2024-05-05,2024-08-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.25
29254,29254,city scrape,Imperador 1701,2021-11-25,"State of Rio de Janeiro, Brazil",within an hour,100%,94%,f,Centro,4.0,4.0,t,,Centro,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$900.00,3,365,1,4,365,365,t,0,16,40,73,15,15,4,2024-05-11,2024-12-15,4.93,4.93,4.8,5.0,5.0,4.67,4.87,t,4,4,0,0,1.95
29257,29257,city scrape,Apartamento no Leblon,2021-11-05,,within an hour,100%,100%,f,Leblon,1.0,1.0,t,,Leblon,Entire rental unit,Entire home/apt,4,3.0,2.0,0.0,"$1,464.00",1,15,1,1,15,15,,0,1,22,22,0,0,0,,,,,,,,,,f,1,1,0,0,
29259,29259,city scrape,Studio moderno com Cama Queen a 200 m da praia,2024-04-08,"Brasilia, Brazil",within a few hours,100%,81%,t,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"$1,100.00",3,30,1,3,30,30,t,4,4,5,86,24,24,6,2024-05-08,2024-12-18,5.0,5.0,4.96,5.0,5.0,4.96,4.96,f,1,1,0,0,3.06
29261,29261,city scrape,Copacabana,2023-04-05,"Rio de Janeiro, Brazil",within a few hours,100%,74%,f,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$553.00,4,365,1,4,365,365,t,3,26,27,27,4,4,1,2024-06-18,2024-11-29,4.75,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.62
29262,29262,previous scrape,"Promoção mensal preço R$3500,00",2022-05-06,,a few days or more,4%,0%,f,Brás de Pina,2.0,4.0,t,,Brás de Pina,Entire home,Entire home/apt,4,,5.0,,,1,365,1,1,365,365,t,17,47,75,255,0,0,0,,,,,,,,,,f,2,2,0,0,
29263,29263,city scrape,Casa na Rua mais charmosa de Botafogo. 2qts/Térrea,2024-03-17,,within an hour,100%,100%,f,Botafogo,1.0,1.0,t,,Botafogo,Entire home,Entire home/apt,6,1.5,2.0,4.0,"$1,029.00",2,900,2,2,900,900,t,26,39,61,336,4,4,0,2024-05-06,2024-11-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.51
29268,29268,previous scrape,Seu Cantinho Perfeito no Barra Bella,2020-06-26,"Rio de Janeiro, Brazil",within a day,75%,61%,f,Ipanema,52.0,56.0,t,,Barra da Tijuca,Entire rental unit,Entire home/apt,4,,1.0,,,2,365,2,2,365,365,t,0,0,17,17,1,1,1,2024-12-01,2024-12-01,1.0,1.0,1.0,1.0,3.0,3.0,1.0,f,37,36,1,0,1.0
29269,29269,city scrape,Apartamento ótima localização,2020-12-09,Brazil,within a few hours,100%,100%,f,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$443.00,2,365,2,2,365,365,t,24,54,79,259,2,2,0,2024-05-05,2024-09-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.25
29272,29272,city scrape,Copabacana: perto do mar e metrô,2021-01-20,"Rio de Janeiro, Brazil",within an hour,100%,96%,t,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"$1,000.00",2,1125,2,5,1125,1125,t,1,2,13,17,29,29,1,2024-04-24,2024-12-15,5.0,4.9,4.93,4.93,5.0,4.97,4.93,f,1,1,0,0,3.49
29273,29273,city scrape,Suíte confortável Rio Centro.,2024-04-08,,within an hour,100%,84%,f,Jacarepaguá,2.0,2.0,t,,Camorim,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$423.00,1,365,1,4,365,365,t,23,53,83,83,4,4,1,2024-04-19,2024-12-08,5.0,4.75,4.75,5.0,5.0,5.0,4.75,f,2,2,0,0,0.47
29275,29275,city scrape,Apartamento próximo Rio centro,2024-04-08,,within an hour,100%,84%,f,Jacarepaguá,2.0,2.0,t,,Camorim,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,$471.00,1,365,1,4,365,365,t,12,42,72,72,5,5,1,2024-05-08,2024-12-08,5.0,5.0,5.0,4.8,4.8,4.8,5.0,f,2,2,0,0,0.64
