,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5986,5986,city scrape,Apartamento Rock in Rio 2024,2016-07-13,"Rio de Janeiro, Brazil",within a day,100%,43%,f,,1.0,3.0,t,"Jacarepagua, Rio de Janeiro, Brazil",Jacarepaguá,Private room in condo,Private room,2,1.0,1.0,2.0,$350.00,1,730,1,1,730,730,t,29,59,89,179,14,2,0,2017-09-16,2024-09-23,5.0,4.93,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.16
6012,6012,city scrape,Apartamento aconchegante no coração da Lapa,2017-07-23,"Rio de Janeiro, Brazil",within a day,100%,77%,f,Lapa,2.0,2.0,t,,Centro,Entire condo,Entire home/apt,2,1.0,1.0,1.0,$450.00,4,28,3,4,28,28,t,24,54,69,69,37,1,0,2017-09-12,2024-09-24,4.97,5.0,4.89,5.0,5.0,4.95,4.92,f,2,2,0,0,0.42
6015,6015,city scrape,Aluguel Quarto Próximo ao Maracanã e Engenhão.,2016-10-11,,within a day,67%,67%,f,Engenho Novo,1.0,4.0,t,"Engenho Novo, Rio de Janeiro, Brazil",Engenho Novo,Private room in rental unit,Private room,1,1.0,1.0,1.0,$130.00,1,365,1,1,365,365,t,20,50,76,328,23,1,0,2017-11-27,2024-09-11,5.0,5.0,5.0,5.0,4.96,4.83,5.0,f,1,0,1,0,0.27
6016,6016,city scrape,"Beautiful apart, close to HSBC arena n Rio Centro.",2014-02-26,"Belém, Brazil",within a day,50%,64%,f,,1.0,2.0,t,"Jacarepagua, Rio de Janeiro, Brazil",Jacarepaguá,Entire condo,Entire home/apt,7,2.0,2.0,4.0,"$1,614.00",3,30,3,3,30,30,t,28,58,88,88,2,0,0,2017-09-25,2018-05-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02
6020,6020,city scrape,Apartamento na Barra da Tijuca com vista para mar,2017-08-12,"Rio de Janeiro, Brazil",within a day,100%,100%,f,Barra da Tijuca,1.0,1.0,t,,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,$771.00,2,1125,2,2,1125,1125,t,12,42,62,152,18,5,0,2023-01-16,2024-09-24,5.0,4.94,5.0,5.0,4.94,4.94,4.94,f,1,1,0,0,0.76
6025,6025,previous scrape,Charmoso apto perto da Praia de Copacabana,2017-07-25,"State of Rio de Janeiro, Brazil",within a day,60%,31%,f,Copacabana,1.0,1.0,f,,Copacabana,Entire rental unit,Entire home/apt,4,,1.0,,,2,1125,2,2,1125,1125,t,20,50,71,344,35,3,0,2017-09-26,2024-11-17,4.97,4.97,4.97,4.97,5.0,5.0,4.94,f,1,1,0,0,0.4
6026,6026,city scrape,Charming Studio in Copacabana. Near to the beach!,2015-11-04,"Rio de Janeiro, Brazil",within a day,100%,69%,f,,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,$640.00,3,1125,3,5,1125,1125,t,15,33,56,60,99,17,0,2017-09-18,2024-11-25,4.86,4.86,4.81,4.97,4.97,4.97,4.81,f,1,1,0,0,1.12
6034,6034,previous scrape,"Lindo 3 qts, c/conforto, sol e varanda para mar",2017-06-11,"Rio de Janeiro, Brazil",within a day,100%,0%,f,Recreio dos Bandeirantes,1.0,2.0,t,,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,6,,3.0,,,3,30,1,3,30,30,t,25,55,85,85,39,1,0,2017-09-04,2024-01-01,4.87,4.87,4.9,4.82,4.97,4.95,4.85,f,1,1,0,0,0.44
6037,6037,previous scrape,Quarto com Vista para o mar e o cristo  no Leblon!,2013-10-10,"Rio de Janeiro, Brazil",within a day,83%,0%,f,,2.0,3.0,t,"Leblon, Rio de Janeiro, Brazil",Leblon,Private room in rental unit,Private room,1,,,,,3,1125,3,3,1125,1125,t,26,56,77,352,0,0,0,,,,,,,,,,f,2,1,1,0,
6055,6055,city scrape,Sunny fully furnished Ipanema gem,2017-08-29,United States,within a day,100%,100%,f,Ipanema,1.0,1.0,t,,Ipanema,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,"$1,686.00",2,1125,2,2,1125,1125,t,23,53,74,349,7,1,0,2019-03-05,2024-02-14,5.0,5.0,5.0,5.0,5.0,4.86,5.0,f,1,1,0,0,0.1
