,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,city scrape,Unbelievable Ocean View Apartment,2011-11-19,"Rio de Janeiro, Brazil",a few days or more,0%,0%,f,Vidigal,1.0,3.0,t,"Rio de Janeiro, Brazil",Vidigal,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$236.00,1,90,1,1,90,90,t,0,0,0,271,7,0,0,2013-02-16,2019-10-05,4.14,4.33,3.67,4.33,4.67,4.33,4.0,f,1,1,0,0,0.05
100,100,city scrape,"Arpoador beach, the best part of Ipanema",2011-07-07,"Rio de Janeiro, Brazil",within an hour,100%,92%,f,Copacabana,10.0,10.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.0,1.0,2.0,$921.00,2,150,2,2,150,150,t,8,28,50,300,86,2,0,2012-10-17,2024-09-22,4.64,4.72,4.39,4.88,4.89,4.92,4.52,f,10,10,0,0,0.58
200,200,city scrape,Confortable charming 3 bedroom,2012-04-08,"Rio de Janeiro, Brazil",within an hour,100%,94%,t,Humaitá,1.0,1.0,t,"Humaitá, Rio de Janeiro, Brazil",Humaitá,Entire rental unit,Entire home/apt,6,1.5,3.0,6.0,"$1,100.00",5,30,5,5,30,30,t,3,5,21,296,100,12,1,2013-03-20,2024-11-30,4.92,4.91,4.95,4.96,4.93,4.87,4.8,f,1,1,0,0,0.7
300,300,city scrape,Apartamento Arcos da Lapa,2011-03-30,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Lapa,4.0,4.0,t,"Rio de Janeiro, Brazil",Centro,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$446.00,1,28,1,5,1125,1125,t,4,28,53,118,449,47,3,2012-12-24,2024-12-18,4.89,4.93,4.94,4.96,4.96,4.72,4.82,f,4,4,0,0,3.07
400,400,city scrape,RIO: Charming Studio with view in Santa Teresa,2013-02-01,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Santa Teresa,3.0,5.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,$187.00,5,365,5,8,1125,1125,t,10,18,36,41,76,10,1,2013-02-14,2024-12-15,4.87,4.84,4.79,4.96,4.99,4.75,4.87,f,3,3,0,0,0.53
500,500,city scrape,Suite no Recreio Praia da Macumba!!,2013-04-14,"Rio de Janeiro, Brazil",within a few hours,100%,100%,f,Recreio dos Bandeirantes,2.0,2.0,t,"Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Private room in condo,Private room,2,1.5,1.0,1.0,$650.00,2,30,2,2,1125,1125,t,30,60,90,365,8,1,0,2016-08-20,2024-09-16,4.88,4.88,5.0,5.0,5.0,4.88,4.75,f,2,0,2,0,0.08
600,600,city scrape,Beautiful Beach House near Angra,2013-09-28,"Rio de Janeiro, Brazil",,,,f,,2.0,2.0,f,,Bangu,Entire home,Entire home/apt,8,4.0,4.0,7.0,"$2,218.00",5,30,5,5,30,30,t,30,60,90,365,0,0,0,,,,,,,,,,f,2,1,1,0,
700,700,city scrape,Very NEW apt with NEW furniture,2012-07-12,"Rio de Janeiro, Brazil",within a few hours,94%,63%,f,Copacabana,48.0,140.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,"$1,190.00",2,365,5,28,365,365,t,5,12,34,124,244,3,0,2013-11-04,2024-05-07,4.38,4.51,4.22,4.77,4.67,4.82,4.39,f,42,34,8,0,1.8
800,800,city scrape,Studio na Lapa - prático e silencioso.,2012-05-30,"Rio de Janeiro, Brazil",within an hour,89%,40%,f,Santa Teresa,1.0,1.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,$216.00,4,180,4,4,180,180,t,18,48,70,70,7,0,0,2019-06-19,2023-02-27,5.0,5.0,5.0,5.0,5.0,5.0,4.86,f,1,1,0,0,0.1
900,900,city scrape,Shared Room Into Rio National Park H&C 2,2013-10-12,"Rio de Janeiro, Brazil",within an hour,100%,63%,f,,5.0,10.0,t,"Rio, Rio de Janeiro, Brazil",Tijuca,Shared room in home,Shared room,1,2.0,1.0,5.0,$255.00,1,365,1,2,365,365,t,30,57,62,227,5,1,0,2014-07-13,2024-07-24,5.0,4.8,4.8,4.8,5.0,4.4,5.0,f,5,0,2,3,0.04
