,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1000,1000,city scrape,JÓIA OLÍMPICA! Faça tudo a pé,2014-02-14,"State of Ceará, Brazil",within an hour,100%,100%,f,Barra da Tijuca,1.0,5.0,t,"Rio, Rio de Janeiro, Brazil",Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$352.00,3,89,3,3,89,89,t,12,34,57,57,80,27,2,2022-02-21,2024-12-10,4.84,4.91,4.88,4.94,4.99,4.83,4.79,f,1,1,0,0,2.31
1100,1100,city scrape,"ARTE, DESIGN E VISTA INCRÍVEL!",2014-03-08,"Sao Paulo, Brazil",a few days or more,30%,0%,f,Caju,1.0,2.0,t,"Rio, Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,$350.00,2,28,2,2,28,28,t,27,57,82,82,1,0,0,2014-05-06,2014-05-06,5.0,4.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.01
1200,1200,city scrape,Leblon apartment - newly renovated,2014-03-18,"Rio, Brazil",within a day,100%,25%,f,Leblon,2.0,2.0,t,,Leblon,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,$475.00,1,1125,1,1,1125,1125,t,0,0,0,176,1,0,0,2015-02-18,2015-02-18,4.0,5.0,5.0,5.0,5.0,5.0,4.0,f,1,1,0,0,0.01
1300,1300,city scrape,Apto 50m2 1/4 temporada Lapa wifi mobiliado,2014-04-13,Brazil,within a day,90%,70%,f,Botafogo,2.0,2.0,t,"Rio de Janeiro, Brazil",Centro,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,$357.00,4,180,4,4,180,180,t,29,59,89,89,0,0,0,,,,,,,,,,f,2,2,0,0,
1400,1400,city scrape,Luxury Oceanfront Cliffside Estate,2013-08-02,"New York, NY",within a day,67%,75%,f,Joá,2.0,3.0,t,"Rio, Rio de Janeiro, Brazil",Joá,Room in boutique hotel,Private room,16,5.0,5.0,8.0,"$15,000.00",1,1125,1,1,1125,1125,t,30,60,90,365,4,0,0,2018-08-13,2019-09-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.05
1500,1500,city scrape,Suite perto do Maracanã,2014-01-02,"Rio, Brazil",within an hour,100%,0%,f,Tijuca,1.0,4.0,t,,Tijuca,Private room in rental unit,Private room,2,1.0,1.0,1.0,$264.00,3,10,3,3,10,10,t,23,53,83,358,0,0,0,,,,,,,,,,f,1,0,1,0,
1600,1600,previous scrape,Trendy apartment in Baixo Gávea,2011-05-18,"Rio de Janeiro, Brazil",within an hour,100%,88%,t,Gávea,2.0,2.0,t,"Rio de Janeiro, Brazil",Gávea,Entire rental unit,Entire home/apt,4,,1.0,,,3,1125,3,3,1125,1125,t,0,0,0,0,138,23,0,2015-02-19,2024-10-14,4.99,4.99,4.94,4.99,4.97,4.97,4.79,f,2,1,1,0,1.15
1700,1700,city scrape,Charmoso apartamento  em Santa Teresa,2014-05-30,,within a day,100%,100%,f,Santa Teresa,1.0,1.0,t,,Santa Teresa,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$450.00,5,30,5,5,30,30,t,0,0,1,42,3,0,0,2022-02-28,2023-02-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.09
1800,1800,city scrape,URCA RIO DE JANEIRO.THE GREAT PLACE,2014-06-16,"Rio de Janeiro, Brazil",a few days or more,0%,0%,f,Urca,1.0,1.0,f,"Rio, Rio de Janeiro, Brazil",Urca,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,$700.00,2,1125,2,2,1125,1125,t,26,56,82,357,0,0,0,,,,,,,,,,f,1,1,0,0,
1900,1900,city scrape,"Cozy apartment, right in the heart of Lapa.",2014-09-09,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Lapa,2.0,2.0,t,"Centro, Rio de Janeiro, Brazil",Santa Teresa,Entire condo,Entire home/apt,4,1.0,1.0,2.0,$240.00,1,30,1,1,30,30,t,3,28,55,329,200,28,1,2018-12-31,2024-12-08,4.69,4.84,4.55,4.86,4.89,4.85,4.69,f,2,2,0,0,2.74
2000,2000,city scrape,"Studio-1 Copacabana Ipanema, Near Beach & Subway",2014-10-08,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,4.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,$799.00,28,80,4,28,1125,1125,t,6,13,26,183,168,8,1,2014-12-15,2024-11-28,4.89,4.97,4.9,4.96,4.98,4.98,4.85,f,4,4,0,0,1.37
2100,2100,city scrape,Ipanema and Copacabana best area!,2013-03-08,"Rio de Janeiro, Brazil",within a few hours,80%,0%,f,Ipanema,5.0,10.0,t,,Copacabana,Private room in rental unit,Private room,1,2.0,1.0,1.0,$140.00,28,1125,28,28,1125,1125,t,18,48,78,353,1,0,0,2016-08-20,2016-08-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,2,2,0,0.01
2200,2200,city scrape,Close to everything!,2014-02-03,"Rio, Brazil",,,,f,Ipanema,1.0,2.0,t,"Rio de Janeiro, Brazil",Ipanema,Private room in rental unit,Private room,2,1.0,1.0,2.0,"$1,342.00",1,1125,1,1,1125,1125,t,30,60,90,365,12,0,0,2015-03-22,2019-01-03,4.67,4.75,4.67,4.92,4.83,5.0,4.58,f,1,0,1,0,0.1
2300,2300,city scrape,Sweet Room,2014-05-08,"Rio, Brazil",within a few hours,100%,100%,f,Quintino Bocaiúva,1.0,1.0,t,"Rio de Janeiro, Brazil",Quintino Bocaiúva,Private room in rental unit,Private room,2,1.0,1.0,1.0,$130.00,2,90,1,2,1125,1125,t,23,46,76,260,5,2,0,2016-08-14,2024-09-17,4.8,4.8,4.8,5.0,5.0,4.0,5.0,f,1,0,1,0,0.05
2400,2400,city scrape,Very nice and confortable bedroom,2015-07-09,"Rio de Janeiro, Brazil",within a day,50%,40%,f,Copacabana,3.0,16.0,t,,Copacabana,Private room in rental unit,Private room,1,1.0,1.0,1.0,$800.00,2,15,2,2,15,15,t,28,58,81,171,0,0,0,,,,,,,,,,f,2,0,2,0,
2500,2500,city scrape,Suite Leblon,2015-07-30,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Leblon,7.0,9.0,t,"Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$390.00,3,45,3,3,45,45,t,18,36,61,336,62,4,0,2015-09-14,2024-02-19,4.79,4.85,4.71,4.9,4.95,5.0,4.73,f,2,2,0,0,0.55
2600,2600,city scrape,Room in family apartment - Leme,2014-01-11,"Rio, Brazil",a few days or more,0%,0%,f,,1.0,1.0,t,"Leme, Rio de Janeiro, Brazil",Leme,Entire rental unit,Entire home/apt,5,2.5,2.0,1.0,$800.00,5,1125,5,5,1125,1125,t,25,55,76,76,0,0,0,,,,,,,,,,f,1,1,0,0,
2700,2700,city scrape,Double Room in Sea View Copacabana/Ipanema Apt,2019-12-05,"Rio de Janeiro, Brazil",,,,f,,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Private room in condo,Private room,2,2.5,1.0,1.0,$200.00,3,120,3,3,120,120,t,0,0,18,18,13,1,0,2018-06-06,2024-11-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.16
2800,2800,city scrape,2 Entire flat luxury  with 2 suites,2014-03-28,"Rio de Janeiro, Brazil",within an hour,100%,81%,f,,15.0,16.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,10,3.0,3.0,6.0,"$13,485.00",1,1125,1,1,1125,1125,t,29,59,89,269,17,2,0,2016-02-13,2024-10-20,4.88,4.88,4.88,4.88,4.94,4.94,4.88,f,11,7,4,0,0.16
2900,2900,city scrape,Apto. 2 quartos  em rua tranquila de Santa Teresa,2015-12-06,"Paraty, Brazil",within an hour,100%,97%,t,Santa Teresa,4.0,4.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,$367.00,2,20,2,5,1125,1125,t,24,54,72,347,69,18,0,2016-01-03,2024-11-24,4.75,4.86,4.64,4.93,4.94,4.7,4.78,f,1,1,0,0,0.63
3000,3000,city scrape,The best suite in Copacabana (total privacy),2015-12-14,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,2.0,3.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire serviced apartment,Entire home/apt,2,1.0,1.0,3.0,$450.00,2,90,2,5,90,90,t,23,28,28,28,206,8,0,2016-01-06,2024-10-06,4.89,4.93,4.91,4.99,4.96,4.9,4.85,f,2,2,0,0,1.88
3100,3100,city scrape,CASA VISTA MAR - Triplex de costas pra praia,2011-05-23,,a few days or more,10%,78%,f,Recreio dos Bandeirantes,1.0,3.0,t,"Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Entire home,Entire home/apt,12,5.0,6.0,12.0,"$2,000.00",2,1125,2,2,1125,1125,t,28,58,85,360,103,5,0,2016-08-23,2024-11-17,4.44,4.54,4.42,4.86,4.56,4.83,4.39,f,1,1,0,0,1.01
3200,3200,city scrape,Copacabana entre Ipanema e Arpoador!,2015-11-28,"Rio de Janeiro, Brazil",a few days or more,43%,0%,f,Copacabana,2.0,2.0,f,"Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,1,1.0,1.0,2.0,$150.00,3,1125,3,3,1125,1125,t,25,55,77,352,33,0,0,2016-02-10,2023-10-13,5.0,5.0,5.0,5.0,5.0,5.0,4.94,f,2,0,2,0,0.31
3300,3300,city scrape,A Toca de Santa #2,2016-02-04,"Cambridge, United Kingdom",within a few hours,94%,79%,f,,3.0,6.0,t,,Santa Teresa,Shared room in guesthouse,Shared room,6,2.0,1.0,1.0,$120.00,2,1125,2,2,1125,1125,t,28,58,83,358,6,2,0,2016-02-12,2024-02-17,4.83,5.0,5.0,4.83,5.0,4.5,5.0,f,3,0,1,2,0.06
3400,3400,city scrape,Excelente Apartamento no Grajaú,2014-08-19,"Rio de Janeiro, Brazil",,,,f,,1.0,1.0,f,"Rio de Janeiro, Brazil",Grajaú,Entire rental unit,Entire home/apt,6,1.5,2.0,3.0,$539.00,10,90,10,10,90,90,t,29,59,89,89,0,0,0,,,,,,,,,,t,1,1,0,0,
3500,3500,city scrape,Olympic Oportunity Near Venues!,2015-10-26,"Rio de Janeiro, Brazil",,,,f,,1.0,1.0,t,,Jacarepaguá,Private room in rental unit,Private room,2,2.0,1.0,1.0,"$1,095.00",1,1125,1,1,1125,1125,t,29,59,89,89,4,0,0,2016-08-13,2022-09-11,5.0,5.0,4.75,5.0,5.0,4.75,4.75,f,1,0,1,0,0.04
3600,3600,city scrape,Apartamento Copacabana / Leme - 3' from the Beach!,2016-03-21,"Belo Horizonte, Brazil",within a day,70%,46%,f,Leme,1.0,1.0,f,,Leme,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,$286.00,4,1125,2,4,1125,1125,t,23,53,74,164,39,4,0,2016-08-15,2024-09-23,4.51,4.59,4.41,4.77,4.54,4.69,4.62,f,1,1,0,0,0.38
3700,3700,city scrape,Apartamento Maracanã Olímpiadas,2016-04-02,"Rio de Janeiro, Brazil",,,,f,,1.0,1.0,f,,Vila Isabel,Entire rental unit,Entire home/apt,8,3.0,3.0,4.0,"$1,200.00",15,30,15,15,30,30,t,30,60,90,180,0,0,0,,,,,,,,,,t,1,1,0,0,
3800,3800,city scrape,Paraiso no Rio de Janeiro,2016-05-02,"Rio de Janeiro, Brazil",,,,f,Barra da Tijuca,1.0,1.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire rental unit,Entire home/apt,6,4.5,4.0,4.0,"$2,800.00",7,30,7,7,30,30,t,29,59,89,89,0,0,0,,,,,,,,,,f,1,1,0,0,
3900,3900,city scrape,Heart of Copacabana.,2016-05-08,"Rio de Janeiro, Brazil",within an hour,100%,93%,t,Copacabana,2.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$473.00,2,1125,2,2,1125,1125,t,1,4,13,15,142,20,3,2016-06-06,2024-12-17,4.96,4.96,4.99,5.0,5.0,4.95,4.89,f,2,2,0,0,1.36
4000,4000,city scrape,Excelente Oportunidade para as Olimpiadas,2016-05-26,,,,,f,,3.0,3.0,f,,Copacabana,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,"$2,360.00",10,60,10,10,60,60,t,29,59,89,364,0,0,0,,,,,,,,,,t,3,3,0,0,
4100,4100,city scrape,Great room in Barra da tijuca,2016-06-08,"Rio de Janeiro, Brazil",,,,f,,2.0,4.0,f,,Itanhangá,Private room in rental unit,Private room,2,1.0,1.0,1.0,$775.00,1,1125,1,1,1125,1125,t,29,59,89,364,0,0,0,,,,,,,,,,f,1,0,1,0,
4200,4200,city scrape,House in a Vila cozy and safe.,2016-06-15,,,,,f,,1.0,1.0,f,"Rio de Janeiro, Brazil",Tijuca,Private room in villa,Private room,4,2.0,1.0,3.0,$700.00,5,30,5,5,30,30,t,27,57,87,362,0,0,0,,,,,,,,,,f,1,0,1,0,
4300,4300,city scrape,Don't miss this Apartment for the Olympics.,2016-06-20,,,,,f,Praça da Bandeira,1.0,1.0,f,,Praça da Bandeira,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,$400.00,3,30,3,3,30,30,t,29,59,89,89,0,0,0,,,,,,,,,,t,1,1,0,0,
4400,4400,city scrape,Dúplex Rent Olympic Games 2016,2016-07-02,,,,,f,,1.0,1.0,f,,Barra da Tijuca,Entire rental unit,Entire home/apt,4,3.0,2.0,2.0,"$3,371.00",1,1125,1,1,1125,1125,t,30,60,90,365,0,0,0,,,,,,,,,,t,1,1,0,0,
4500,4500,city scrape,Agradável e silencioso apartamento no Flamengo!,2016-07-02,"Rio de Janeiro, Brazil",within a few hours,100%,56%,t,Flamengo,1.0,1.0,t,"Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,$486.00,2,31,2,2,31,31,t,2,27,28,53,27,7,0,2017-09-25,2024-09-22,4.93,4.96,5.0,4.96,5.0,5.0,4.93,f,1,1,0,0,0.31
4600,4600,city scrape,Casa próximo ao Maracanã,2016-07-20,,a few days or more,33%,100%,f,Rocha,1.0,1.0,f,,Rocha,Entire home,Entire home/apt,10,1.5,3.0,5.0,$500.00,10,26,10,10,26,26,t,20,50,80,355,0,0,0,,,,,,,,,,t,1,1,0,0,
4700,4700,previous scrape,LOFT na praia da Barra. Disponível de 16 à 19/09.,2016-07-22,"State of Rio de Janeiro, Brazil",within a day,100%,89%,t,Barra da Tijuca,1.0,1.0,t,,Barra da Tijuca,Entire loft,Entire home/apt,8,,2.0,,,2,1125,2,2,1125,1125,t,1,1,1,1,124,10,0,2016-08-07,2024-09-23,4.71,4.8,4.69,4.9,4.69,4.93,4.67,f,1,1,0,0,1.21
4800,4800,city scrape,Nice room close to the Flamengo park,2016-01-09,"Rio de Janeiro, Brazil",within a day,100%,20%,f,Flamengo,2.0,2.0,t,"Rio de Janeiro, Brazil",Flamengo,Private room in rental unit,Private room,2,1.5,1.0,1.0,$471.00,5,70,5,5,70,70,t,23,53,64,339,4,0,0,2019-01-02,2020-02-26,4.75,4.75,4.5,4.75,4.75,4.75,4.0,f,2,0,2,0,0.05
4900,4900,city scrape,"Olimpíadas, próximo ao Maracana e ao Metro",2016-08-01,,,,,f,Tijuca,1.0,1.0,f,,Tijuca,Private room in rental unit,Private room,2,1.0,1.0,2.0,"$1,483.00",6,12,6,6,12,12,t,30,60,90,365,0,0,0,,,,,,,,,,t,1,0,1,0,
5000,5000,city scrape,Botafogo comfort!,2016-06-16,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,,1.0,1.0,t,,Botafogo,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,$856.00,1,90,1,5,90,90,t,1,1,20,50,71,11,0,2016-12-28,2024-11-01,4.92,4.93,4.9,4.8,4.86,4.97,4.83,t,1,1,0,0,0.73
5100,5100,city scrape,3- beddroom apartment for rent,2014-04-16,,,,,f,,1.0,4.0,t,"Rio de Janeiro, Brazil",Jacarepaguá,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,"$1,686.00",6,8,6,6,8,8,t,27,57,87,362,0,0,0,,,,,,,,,,f,1,1,0,0,
5200,5200,city scrape,casa igba - Santa Teresa - Green Room,2015-02-14,"Rio de Janeiro, Brazil",a few days or more,25%,,f,Santa Teresa,4.0,4.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Private room in home,Private room,3,1.0,1.0,2.0,$583.00,1,1125,1,2,365,365,t,4,4,4,4,1,0,0,2022-03-01,2022-03-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,4,0,4,0,0.03
5300,5300,city scrape,casa da formiga,2016-12-01,"Rio de Janeiro, Brazil",within a day,100%,,f,,1.0,3.0,t,,Itanhangá,Private room in hostel,Private room,1,1.0,1.0,1.0,$290.00,1,1125,1,1,1125,1125,t,0,0,6,6,0,0,0,,,,,,,,,,f,1,0,1,0,
5400,5400,city scrape,"Apartamento  inteiro, na praia de Copacabana !!",2016-11-17,,within a few hours,100%,71%,,Leme,3.0,3.0,t,"Rio de Janeiro, Brazil",Leme,Entire rental unit,Entire home/apt,8,3.0,2.0,4.0,"$1,786.00",5,1125,5,7,1125,1125,t,12,40,61,61,22,1,0,2019-03-06,2024-09-23,5.0,4.95,5.0,5.0,5.0,4.95,4.77,f,1,1,0,0,0.31
5500,5500,city scrape,FLAT IPANEMA PREMIUM 2 SUITES VISTA MAR,2011-04-24,"Rio de Janeiro, Brazil",within an hour,97%,10%,f,Ipanema,50.0,79.0,t,,Ipanema,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,$900.00,2,50,2,2,50,50,t,2,19,19,287,40,7,1,2019-07-08,2024-12-10,4.88,4.85,4.8,4.95,4.83,4.98,4.73,f,43,43,0,0,0.6
5600,5600,previous scrape,"Apartamento em Santa Teresa, próximo à Lapa",2017-01-17,"Rio de Janeiro, Brazil",a few days or more,0%,96%,f,Centro,1.0,1.0,f,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,5,,3.0,,,1,30,1,1,30,30,t,0,0,0,0,35,15,0,2017-03-02,2024-09-21,4.94,4.94,4.86,4.94,4.97,4.89,4.86,f,1,1,0,0,0.37
5700,5700,city scrape,Ipanema Apartment with ocean and lake view.,2012-02-26,"Los Angeles, CA",within an hour,100%,78%,t,Ipanema,1.0,3.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"$1,156.00",5,1125,5,5,1125,1125,t,3,3,8,64,27,6,2,2018-03-28,2024-12-16,4.81,4.85,4.81,4.96,5.0,4.93,4.89,f,1,1,0,0,0.33
5800,5800,previous scrape,Apartamento completo - Lapa,2015-02-19,"Rio de Janeiro, Brazil",within a few hours,100%,100%,f,,1.0,1.0,f,,Centro,Entire rental unit,Entire home/apt,3,,1.0,,,2,10,2,2,10,10,t,26,56,80,355,2,2,0,2024-09-17,2024-11-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.58
5900,5900,city scrape,Ipanema Paradise BEST Location OCEAN View by Beach,2017-01-10,"Flower Mound, TX",within an hour,100%,97%,t,Ipanema,13.0,14.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,"$1,517.00",1,40,1,1,40,40,t,3,18,39,254,99,24,3,2017-09-04,2024-12-20,4.92,4.94,4.85,4.9,4.86,4.99,4.87,f,2,2,0,0,1.11
6000,6000,previous scrape,4 bedrooms/2 living-rooms confort – LEME BEACH !,2016-08-24,"Rio de Janeiro, Brazil",within a few hours,97%,40%,f,Ipanema,201.0,609.0,t,"Leme, Rio de Janeiro, Brazil",Leme,Entire rental unit,Entire home/apt,10,,3.0,,,3,1125,3,3,1125,1125,t,0,0,0,0,0,0,0,,,,,,,,,,f,153,149,4,0,
6100,6100,city scrape,Casarão com Piscinas e Campo de Futebol e Vôlei,2017-04-11,,within an hour,100%,84%,t,Leblon,4.0,4.0,t,"Guaratiba, Rio de Janeiro, Brazil",Guaratiba,Entire cottage,Entire home/apt,16,10.0,8.0,43.0,"$2,029.00",2,1125,1,2,1125,1125,t,13,30,47,281,30,8,1,2020-08-30,2024-12-08,4.8,4.73,4.73,4.93,4.87,4.77,4.8,f,4,4,0,0,0.57
6200,6200,city scrape,Localização e segurança excelente,2015-12-28,"Rio de Janeiro, Brazil",,,100%,f,,2.0,3.0,t,,Barra da Tijuca,Private room in rental unit,Private room,2,1.0,1.0,1.0,$400.00,1,1125,1,1,1125,1125,t,30,60,90,365,3,1,0,2019-09-29,2024-09-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,0,2,0,0.05
6300,6300,city scrape,Cobertura Jardim Botânico,2016-01-22,"Rio de Janeiro, Brazil",within a few hours,100%,80%,f,Jardim Botânico,1.0,2.0,t,"Jardim Botânico, Rio de Janeiro, Brazil",Jardim Botânico,Entire rental unit,Entire home/apt,6,3.5,3.0,4.0,"$1,429.00",2,1125,2,2,1125,1125,t,21,49,69,159,28,4,0,2018-01-01,2024-11-17,4.96,4.96,4.89,5.0,4.96,5.0,4.71,f,1,1,0,0,0.33
6400,6400,previous scrape,"Estúdio em Copacabana, a 100 metros da praia.",2015-10-02,"Brasília, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,,,,,5,1125,5,5,1125,1125,t,0,3,3,3,100,22,1,2017-12-17,2024-12-21,4.9,4.89,4.9,4.93,4.98,4.92,4.89,f,1,1,0,0,1.17
