,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
29,29,city scrape,Wonderful loft at the heart of Rio de Janeiro,2010-11-20,"Rio de Janeiro, Brazil",,,100%,f,Flamengo,2.0,2.0,t,"Rio de Janeiro, Brazil",Flamengo,Entire rental unit,Entire home/apt,6,2.0,4.0,4.0,1200.0,6,100,6,6,100,100,t,0,0,0,270,13,2,0,2011-01-05,2024-02-15,4.83,4.9,4.9,4.9,4.9,4.9,4.8,f,1,1,0,0,0.08,204.00000000000003
31,31,city scrape,Ipanema amazing 3 bedrooms apartment,2010-03-14,"Rio de Janeiro, Brazil",within a few hours,100%,96%,f,Ipanema,1.0,2.0,t,,Ipanema,Entire rental unit,Entire home/apt,6,2.5,3.0,4.0,1986.0,3,1125,3,5,1125,1125,t,6,21,41,128,95,24,0,2011-03-09,2024-11-13,4.76,4.76,4.61,4.85,4.84,4.94,4.6,f,1,1,0,0,0.57,337.62
33,33,city scrape,Apart-hotel em Ipanema com garagem e  camareira,2010-12-15,"Rio de Janeiro, Brazil",within an hour,100%,100%,,Ipanema,6.0,8.0,t,"Rio, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,2.0,1.0,5.0,1310.0,2,420,1,5,20,1125,t,5,9,22,297,606,49,3,2012-01-07,2024-12-22,4.81,4.88,4.83,4.91,4.94,4.89,4.71,f,5,5,0,0,3.84,222.70000000000002
36,36,city scrape,Espaçosa Casa  no Coração do Rio 290m4QT.8camas,2011-02-23,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,12,4.0,4.0,8.0,4567.0,2,365,2,6,365,365,t,16,36,60,332,160,17,1,2011-07-31,2024-12-22,4.39,4.58,4.33,4.88,4.77,4.42,4.26,f,1,1,0,0,0.98,776.3900000000001
60,60,city scrape,Casa estilo cabana americana 4 quartos 6 lugares,2011-04-20,"Rio de Janeiro, Brazil",within a few hours,100%,100%,t,Itanhangá,6.0,6.0,t,"Itanhangá, Rio de Janeiro, Brazil",Itanhangá,Entire home,Entire home/apt,6,2.0,4.0,5.0,1143.0,1,30,1,2,30,30,t,30,60,90,112,0,0,0,,,,,,,,,,f,6,6,0,0,,194.31
64,64,city scrape,Delicious new and wonderfull view 2 bedroomns,2011-12-21,"Rio de Janeiro, Brazil",within a day,100%,12%,f,Laranjeiras,1.0,5.0,t,"Rio de Janeiro, Brazil",Laranjeiras,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,614.0,2,1125,2,2,1125,1125,t,21,51,76,351,15,2,0,2012-02-21,2024-01-21,4.92,4.87,4.93,4.8,4.8,4.87,4.73,f,1,1,0,0,0.1,104.38000000000001
69,69,city scrape,Copacabana Beach,2011-11-10,"London, United Kingdom",within an hour,100%,100%,t,Copacabana,1.0,5.0,t,,Copacabana,Entire condo,Entire home/apt,8,2.5,3.0,6.0,3029.0,3,1125,3,4,1125,1125,t,6,34,58,333,53,32,3,2012-02-22,2024-12-23,4.92,4.96,4.85,5.0,4.98,5.0,4.94,f,1,1,0,0,0.34,514.9300000000001
74,74,city scrape,Ipanema WOW!  for 6+2,2011-05-03,"Rio de Janeiro, Brazil",within an hour,100%,96%,t,Ipanema,1.0,1.0,t,"Rio, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,8,3.0,4.0,7.0,6141.0,2,29,2,7,1125,1125,t,17,31,46,321,237,21,2,2012-01-08,2024-12-10,4.92,4.83,4.91,4.97,4.98,4.97,4.78,f,1,1,0,0,1.5,1043.97
75,75,city scrape,House in garden,2011-04-20,"Rio de Janeiro, Brazil",within a few hours,100%,100%,t,Itanhangá,6.0,6.0,t,"Itanhangá, Rio de Janeiro, Brazil",Itanhangá,Entire home,Entire home/apt,12,4.0,6.0,8.0,4093.0,1,20,1,1,20,20,t,23,53,74,164,18,1,0,2019-01-01,2024-04-19,4.44,4.39,4.44,4.89,4.67,4.44,4.28,f,6,6,0,0,0.25,695.8100000000001
88,88,city scrape,Leblon House Very sophisticated in the mettle of L,2011-05-28,"Rio de Janeiro, Brazil",within an hour,100%,98%,t,Consolacao,16.0,24.0,t,,Leblon,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,4164.0,2,366,2,2,366,366,t,10,28,47,316,39,2,0,2011-08-06,2024-08-05,4.95,4.89,4.92,4.95,5.0,5.0,4.76,t,8,8,0,0,0.24,707.88
100,100,city scrape,"Arpoador beach, the best part of Ipanema",2011-07-07,"Rio de Janeiro, Brazil",within an hour,100%,92%,f,Copacabana,10.0,10.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.0,1.0,2.0,921.0,2,150,2,2,150,150,t,8,28,50,300,86,2,0,2012-10-17,2024-09-22,4.64,4.72,4.39,4.88,4.89,4.92,4.52,f,10,10,0,0,0.58,156.57000000000002
112,112,city scrape,Wonderful location in Copacabana!,2012-01-27,"Rio de Janeiro, Brazil",within a few hours,100%,77%,t,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,1243.0,3,90,2,20,90,90,t,6,34,34,135,136,6,0,2012-04-12,2024-06-03,4.92,4.95,4.96,4.96,4.99,4.95,4.84,f,1,1,0,0,0.88,211.31
113,113,previous scrape,NEW WORLD INDEPENDENT LODGINGS - RJ,2012-01-23,"Rio de Janeiro, Brazil",within a day,50%,0%,f,Botafogo,3.0,4.0,f,,Botafogo,Private room in home,Private room,8,,,,,3,90,3,3,90,90,t,22,29,52,327,5,0,0,2012-02-23,2015-11-09,5.0,4.8,5.0,5.0,5.0,4.4,5.0,f,3,0,3,0,0.03,
116,116,city scrape,2BR Cosy Apt w/Pool in Santa Teresa,2012-01-30,Brazil,within a day,86%,100%,f,Santa Teresa,2.0,5.0,t,,Santa Teresa,Entire rental unit,Entire home/apt,16,5.0,6.0,16.0,5874.0,3,30,3,3,30,30,t,30,60,90,365,13,1,0,2012-06-25,2024-11-19,3.75,3.69,4.0,4.38,4.46,4.0,3.85,t,1,1,0,0,0.09,998.58
117,117,city scrape,OLYMPIC GAMES 2016 - in Rio de Janeiro,2012-01-30,"Rio de Janeiro, Brazil",,,,f,Santa Teresa,1.0,1.0,f,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,6,3.0,2.0,5.0,1250.0,20,30,20,20,30,30,t,30,60,90,365,1,0,0,2012-02-21,2012-02-21,5.0,4.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.01,212.50000000000003
120,120,city scrape,Penthouse & Private Airy and Quiet Terrace,2010-10-12,"Miami Beach, FL",within an hour,100%,100%,t,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.5,2.0,2.0,3705.0,3,1125,3,5,1125,1125,t,4,34,64,154,232,10,1,2011-08-20,2024-12-01,4.95,4.93,4.96,4.99,4.99,4.88,4.84,f,2,2,0,0,1.43,629.85
121,121,city scrape,Penthouse Oceanview Copacab/Ipanema,2011-07-20,"Rio de Janeiro, Brazil",within a few hours,100%,90%,t,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,8,2.0,3.0,3.0,6324.0,4,1125,4,7,1125,1125,t,29,59,81,342,180,9,0,2011-10-14,2024-11-08,4.86,4.8,4.89,4.93,4.96,4.92,4.7,f,2,2,0,0,1.12,1075.0800000000002
125,125,city scrape,Copacabana flat/ Near to the beach/ 2 Rooms,2011-05-23,"Rio de Janeiro, Brazil",within a few hours,100%,90%,t,Copacabana,2.0,11.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,1200.0,2,60,2,7,60,60,t,16,46,66,152,109,15,2,2011-10-24,2024-12-08,4.56,4.57,4.47,4.84,4.85,4.9,4.63,f,2,2,0,0,0.68,204.00000000000003
126,126,city scrape,9 minutes walk to Ipanema Beach/ Lagoon Wfi 500MB,2011-07-15,"Rio de Janeiro, Brazil",within an hour,94%,96%,,Ipanema,51.0,96.0,t,,Ipanema,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,969.0,1,45,1,6,45,45,t,14,44,65,126,187,5,0,2011-09-13,2024-07-29,4.55,4.62,4.53,4.84,4.78,4.82,4.46,f,25,25,0,0,1.16,164.73000000000002
147,147,city scrape,AMAZING BEACH FRONT IN COPACABANA,2010-09-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Copacabana,4.0,8.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,2800.0,2,28,2,3,1125,1125,t,9,25,41,312,380,27,0,2012-03-05,2024-11-24,4.86,4.88,4.78,4.95,4.96,4.96,4.77,t,3,3,0,0,2.43,476.00000000000006
153,153,city scrape,PRAIA DE COPACABANA!!   1 BLOCK FROM THE BEACH,2011-10-03,"Rio de Janeiro, Brazil",within an hour,100%,97%,t,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,901.0,5,14,3,5,14,14,t,3,28,42,72,100,16,2,2014-03-03,2024-12-13,4.9,4.96,4.92,4.97,4.96,4.97,4.91,f,2,2,0,0,0.76,153.17000000000002
154,154,previous scrape,"Beautiful Three Bedroom, two Blocks From The Beach",2010-09-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Copacabana,4.0,8.0,t,"Rio, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,,3.0,,,2,90,2,3,1125,1125,t,4,18,38,290,124,15,1,2011-11-17,2024-12-01,4.8,4.85,4.86,4.85,4.91,4.79,4.67,t,3,3,0,0,0.78,
159,159,city scrape,High floor modern apartment with ocean view.,2010-09-30,"Berlin, Germany",within a few hours,100%,33%,f,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Lagoa,Entire condo,Entire home/apt,5,2.5,3.0,4.0,1376.0,2,180,2,2,180,180,t,17,47,77,167,28,3,0,2014-06-30,2024-11-19,4.89,4.89,4.96,4.93,4.96,4.93,4.79,f,2,1,1,0,0.22,233.92000000000002
171,171,previous scrape,"Jacuzzi, Air conditioning, 3mn walk to Beach",2010-05-25,"Zug, Switzerland",within a few hours,100%,94%,f,Copacabana,1.0,15.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,6,,3.0,,,3,30,3,9,30,30,t,10,10,10,10,58,6,0,2011-12-27,2024-06-03,4.61,4.75,4.38,4.79,4.85,4.73,4.65,f,2,2,0,0,0.37,
176,176,city scrape,Cosy and beautifull apartment in Gloria,2012-03-04,"Rio de Janeiro, Brazil",a few days or more,25%,0%,f,Glória,2.0,2.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire townhouse,Entire home/apt,6,1.0,5.0,8.0,1054.0,7,67,7,7,67,67,t,0,0,19,294,0,0,0,,,,,,,,,,f,2,2,0,0,,179.18
179,179,city scrape,Excelente Apartamento em Ipanema,2012-03-04,"Rio de Janeiro, Brazil",within an hour,100%,97%,f,Ipanema,5.0,5.0,t,,Ipanema,Entire condo,Entire home/apt,6,2.0,2.0,3.0,628.0,3,90,3,3,90,90,t,2,7,23,102,455,50,3,2012-03-25,2024-12-10,4.83,4.85,4.8,4.97,4.94,4.98,4.76,f,5,5,0,0,2.93,106.76
180,180,city scrape,COPACABANA ENTRE AS PRAIAS DE IPANEMA E ARPOADOR,2012-03-12,"Rio de Janeiro, Brazil",within a few hours,100%,94%,t,Copacabana,1.0,1.0,f,,Copacabana,Entire rental unit,Entire home/apt,6,1.5,3.0,7.0,450.0,5,90,5,7,90,90,t,1,7,26,39,121,17,1,2019-11-12,2024-12-01,4.98,4.98,4.96,5.0,4.98,4.98,4.94,f,1,1,0,0,1.94,76.5
182,182,city scrape,Ff702| 3 bedrooms in Leblon,2012-03-21,"Rio de Janeiro, Brazil",within an hour,98%,69%,f,Leblon,130.0,358.0,t,"Rio de Janeiro, Rio De Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,456.0,1,1125,1,1,1,1125,t,6,9,30,295,173,11,1,2012-04-25,2024-12-08,4.72,4.79,4.69,4.84,4.87,4.94,4.55,f,125,117,8,0,1.12,77.52000000000001
188,188,city scrape,Copacabana Beach 3 Rooms APT Posto 5 Best of RJ,2012-05-06,"Los Angeles, CA",within an hour,100%,100%,f,Copacabana,1.0,9.0,f,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,5,2.0,3.0,4.0,3998.0,4,365,4,5,1125,1125,t,9,39,60,217,72,6,0,2013-01-06,2024-07-21,4.61,4.54,4.65,4.81,4.69,4.93,4.59,f,1,1,0,0,0.49,679.6600000000001
190,190,city scrape,Enjoy Rio's tropical forest at hand,2011-12-03,"Rio de Janeiro, Brazil",within a few hours,90%,81%,f,,2.0,5.0,t,"Rio de Janeiro, Brazil",Alto da Boa Vista,Entire home,Entire home/apt,12,4.5,4.0,7.0,1650.0,6,30,1,6,30,30,t,20,33,50,230,9,3,0,2016-02-13,2024-09-28,4.78,5.0,4.22,5.0,5.0,4.78,4.78,f,2,2,0,0,0.08,280.5
194,194,city scrape,Cool & Cozy Apartment in Copacabana,2012-03-24,"Rio de Janeiro, Brazil",within an hour,100%,45%,f,Copacabana,5.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,874.0,1,90,1,1,90,90,t,3,11,38,122,157,2,0,2012-05-13,2024-11-10,4.3,4.26,4.03,4.75,4.76,4.86,4.2,f,5,5,0,0,1.02,148.58
197,197,city scrape,Big green terrace in Copacabana !,2012-01-15,"Rio de Janeiro, Brazil",within an hour,100%,95%,t,Copacabana,1.0,4.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,7,2.0,3.0,5.0,2877.0,3,1125,3,5,1125,1125,t,9,14,33,118,218,20,1,2012-06-23,2024-11-30,4.83,4.83,4.88,4.94,4.93,4.87,4.7,f,1,1,0,0,1.43,489.09000000000003
200,200,city scrape,Confortable charming 3 bedroom,2012-04-08,"Rio de Janeiro, Brazil",within an hour,100%,94%,t,Humaitá,1.0,1.0,t,"Humaitá, Rio de Janeiro, Brazil",Humaitá,Entire rental unit,Entire home/apt,6,1.5,3.0,6.0,1100.0,5,30,5,5,30,30,t,3,5,21,296,100,12,1,2013-03-20,2024-11-30,4.92,4.91,4.95,4.96,4.93,4.87,4.8,f,1,1,0,0,0.7,187.0
203,203,city scrape,Beautiful  2 Bedrooms in Ipanema with Car Parking,2011-11-28,"Rio de Janeiro, Brazil",within an hour,98%,99%,t,Leblon,5.0,5.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.0,1.0,1.0,957.0,4,1125,2,7,1125,1125,t,7,10,25,289,378,39,1,2012-09-22,2024-12-06,4.81,4.83,4.89,4.88,4.91,4.92,4.72,t,4,4,0,0,2.53,162.69
206,206,city scrape,Copacabana Penthouse Duplex 4 rooms,2011-12-26,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,10.0,10.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,4.5,4.0,7.0,3929.0,1,365,1,1,365,365,t,10,28,49,320,204,27,1,2015-12-08,2024-12-22,4.8,4.69,4.74,4.92,4.93,4.94,4.6,t,9,8,1,0,1.85,667.9300000000001
211,211,city scrape,Aptº em Ipanema - Posto 9 - Rio,2012-04-13,"Americana, Brazil",within a day,75%,,f,Ipanema,1.0,1.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,850.0,4,1125,4,4,1125,1125,t,0,20,22,188,18,0,0,2012-08-29,2020-01-24,4.28,4.18,4.35,4.47,4.82,5.0,4.59,f,1,1,0,0,0.12,144.5
215,215,city scrape,Apartamento Copacabana Vista Mar,2012-05-28,"Rio de Janeiro, Brazil",,,0%,f,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,230.0,3,1125,3,3,1125,1125,t,2,25,34,309,1,0,0,2014-07-16,2014-07-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.01,39.1
218,218,city scrape,Cobertura Ipanema Jacuzzi 9pessoas/AnoTodo,2011-11-15,"Rio de Janeiro, Brazil",within an hour,100%,83%,f,Copacabana,2.0,4.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,9,3.0,2.0,4.0,2650.0,5,27,5,5,27,27,t,28,58,88,363,33,1,0,2013-05-07,2024-02-14,4.42,4.22,4.28,4.72,4.45,4.81,4.26,f,2,2,0,0,0.23,450.50000000000006
219,219,city scrape,Duplex Penthouse in Ipanema,2012-05-31,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Ipanema,2.0,2.0,t,,Ipanema,Entire rental unit,Entire home/apt,8,3.0,2.0,4.0,1790.0,3,1125,3,5,1125,1125,t,13,27,51,51,192,0,0,2012-06-20,2023-12-26,4.3,4.34,4.48,4.66,4.6,4.49,4.4,t,2,2,0,0,1.26,304.3
223,223,city scrape,The best 3 bedroons in Leblon/Rio,2011-04-23,"Rio de Janeiro, Brazil",within a few hours,80%,50%,t,Leblon,3.0,8.0,t,"Leblon, rio de janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,5,2.0,3.0,2.0,1387.0,2,60,2,2,60,60,t,22,39,69,159,16,2,0,2012-05-28,2024-11-17,4.71,4.69,4.44,4.94,4.94,4.31,4.44,f,3,2,1,0,0.1,235.79000000000002
234,234,city scrape,"Apartament, lateral view from sea",2011-04-25,"São Paulo, Brazil",within an hour,100%,96%,t,Copacabana,5.0,6.0,t,,Copacabana,Entire rental unit,Entire home/apt,5,2.0,3.0,5.0,1200.0,3,365,3,8,365,365,t,1,17,28,281,148,22,3,2012-09-26,2024-12-16,4.84,4.86,4.78,4.91,4.95,4.95,4.77,f,4,1,3,0,0.99,204.00000000000003
237,237,city scrape,"Great space in  Ipanema! 3BR,  2,5 B",2012-01-28,"Hürth, Germany",within an hour,100%,60%,f,Ipanema,2.0,3.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,6,2.5,3.0,12.0,2000.0,4,380,4,4,380,380,t,23,53,54,234,7,0,0,2014-07-04,2020-02-10,3.86,4.14,3.86,4.71,5.0,4.43,3.43,f,1,1,0,0,0.05,340.0
247,247,city scrape,Duplex penthouse near the beach,2012-06-16,"Rio de Janeiro, Brazil",a few days or more,25%,0%,f,Copacabana,5.0,6.0,f,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,4.0,5.0,3000.0,5,1125,3,3,1125,1125,t,30,60,90,365,3,0,0,2016-08-20,2020-02-14,4.67,4.67,4.67,5.0,5.0,5.0,4.67,f,5,1,4,0,0.03,510.00000000000006
249,249,city scrape,Amazing 2 Bdr - 2 steps from Subway of Botafogo,2012-06-21,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Botafogo,3.0,3.0,t,"Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,663.0,2,90,2,6,1125,1125,t,22,52,82,357,338,26,3,2012-11-29,2024-12-15,4.88,4.89,4.89,4.95,4.87,4.93,4.78,t,3,3,0,0,2.3,112.71000000000001
250,250,city scrape,AIRES 3 bedrooms 3 bathrooms Copacabana RJ,2012-06-25,"Rio de Janeiro, Brazil",within an hour,100%,67%,f,Copacabana,5.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,7,3.0,3.0,5.0,1886.0,4,90,4,7,90,90,t,1,13,32,103,1,0,0,2019-06-28,2019-06-28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,5,5,0,0,0.01,320.62
254,254,city scrape,Cozy apartment in Copacabana!,2012-07-02,"State of Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,2.0,3.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,5.0,1858.0,3,28,3,7,1125,1125,t,7,21,38,110,141,13,1,2012-12-24,2024-11-28,4.94,4.94,4.89,4.98,4.97,4.97,4.89,f,2,2,0,0,0.96,315.86
259,259,city scrape,"Lindo e charmoso, localização perfeita!",2012-03-14,"Rio de Janeiro, Brazil",within an hour,100%,97%,t,,6.0,14.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,3.0,3.0,7.0,1732.0,5,90,2,5,90,90,t,2,4,12,141,265,45,2,2012-12-30,2024-12-11,4.81,4.87,4.75,4.93,4.95,4.93,4.72,f,1,1,0,0,1.81,294.44
269,269,city scrape,"Ipanema, confortável 3 bedrooms",2012-07-11,"Rio de Janeiro, Brazil",within an hour,100%,78%,t,Ipanema,6.0,9.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,7,2.5,3.0,7.0,2936.0,4,89,3,7,89,89,t,10,22,27,27,21,4,0,2015-06-08,2024-07-22,4.76,4.81,4.67,4.9,4.95,4.62,4.52,f,6,5,1,0,0.18,499.12000000000006
279,279,city scrape,NICE FLAT IN RIO (COPACABANA)!,2012-11-04,"Rio de Janeiro, Brazil",within a few hours,90%,12%,f,Leme,3.0,3.0,t,"Rio de Janeiro, Brazil",Leme,Entire rental unit,Entire home/apt,5,1.5,2.0,3.0,1483.0,2,60,2,2,60,60,t,27,57,80,355,7,0,0,2019-10-06,2023-11-20,5.0,4.86,4.71,5.0,5.0,5.0,5.0,f,3,1,2,0,0.11,252.11
