,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
3,3,city scrape,Amazing Huge Apartment in Leblon,2011-04-25,"Rio de Janeiro, Brazil",,,,f,Leblon,1.0,2.0,f,,Leblon,Entire rental unit,Entire home/apt,6,3.5,3.0,3.0,6742.0,2,7,2,2,7,7,t,30,60,90,365,0,0,0,,,,,,,,,,f,1,1,0,0,,1146.14
5,5,city scrape,Apto de 2 qtos com vista para Lagoa e  garagem,2010-12-15,"Rio de Janeiro, Brazil",within an hour,100%,100%,,Ipanema,6.0,8.0,t,"Rio, Rio de Janeiro, Brazil",Lagoa,Entire rental unit,Entire home/apt,6,2.0,2.0,6.0,1411.0,2,420,1,5,20,1125,t,13,21,40,315,654,67,4,2012-02-01,2024-12-18,4.83,4.89,4.86,4.92,4.94,4.84,4.72,f,5,5,0,0,4.16,239.87
6,6,city scrape,Luxury Accommodation in Hip Leblon,2012-10-31,"Rio de Janeiro, Brazil",,,75%,f,Leblon,1.0,1.0,t,"Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,6,2.5,2.0,5.0,703.0,3,1125,3,3,1125,1125,t,0,0,0,271,60,0,0,2011-12-29,2023-06-09,4.8,4.8,4.55,4.78,4.93,5.0,4.6,f,1,1,0,0,0.38,119.51
10,10,city scrape,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",2010-01-08,"Rio de Janeiro, Brazil",within a few hours,100%,95%,f,Copacabana,2.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,5,1.0,2.0,2.0,1471.0,5,28,5,5,28,28,t,10,14,26,279,327,16,1,2010-07-15,2024-12-27,4.7,4.76,4.63,4.83,4.91,4.77,4.66,f,1,1,0,0,1.86,250.07000000000002
13,13,city scrape,Bright 6bed Penthouse Seconds from Beach,2010-01-16,"Rio de Janeiro, Brazil",within an hour,100%,94%,t,Ipanema,7.0,33.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,13,7.0,6.0,7.0,3532.0,7,89,4,15,89,89,t,23,35,51,319,180,16,0,2011-03-02,2024-10-01,4.76,4.73,4.72,4.84,4.84,4.95,4.59,t,6,5,1,0,1.07,600.44
14,14,previous scrape,Extra large 4BD 3BT on the AtlanticAve. Copacabana,2010-09-03,"Rio de Janeiro, Brazil",within an hour,100%,77%,t,Copacabana,1.0,6.0,t,"Rio, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,11,,4.0,,,3,750,1,3,750,750,t,0,9,29,304,39,15,1,2015-08-01,2024-12-15,4.59,4.67,4.36,4.92,4.87,4.92,4.56,f,1,1,0,0,0.34,
16,16,city scrape,Casanova Residence great for shoots and events,2010-09-13,"State of Rio de Janeiro, Brazil",within a day,64%,67%,f,Joá,5.0,15.0,t,"Rio de Janeiro, Brazil",Barra da Tijuca,Entire home,Entire home/apt,14,7.0,6.0,10.0,6000.0,1,730,1,1,730,730,t,30,60,80,355,7,0,0,2015-11-27,2017-01-08,4.57,4.86,4.86,4.86,4.57,4.71,4.57,f,5,3,2,0,0.06,1020.0000000000001
18,18,city scrape,Luxury Apartment - in Ipanema,2011-04-23,"Rio de Janeiro, Brazil",within an hour,100%,59%,t,Copacabana,3.0,7.0,t,,Ipanema,Entire serviced apartment,Entire home/apt,5,3.0,3.0,4.0,5394.0,7,90,7,7,90,90,t,30,60,90,365,1,0,0,2013-06-25,2013-06-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,3,0,0,0.01,916.98
24,24,city scrape,"10People Ipanema/Copa (Easter,AnoNovo, Feriado",2011-11-15,"Rio de Janeiro, Brazil",within an hour,100%,83%,f,Copacabana,2.0,4.0,t,,Copacabana,Entire rental unit,Entire home/apt,10,2.0,1.0,8.0,1200.0,3,28,3,5,28,28,t,23,53,78,353,10,2,0,2014-03-06,2024-02-14,3.8,3.5,4.6,4.4,4.2,4.3,3.6,f,2,2,0,0,0.08,204.00000000000003
28,28,city scrape,Walk to Joatinga Beach/PedraDaGávea View Casa/Pool,2010-09-30,"San Diego, CA",within a few hours,100%,50%,f,Joá,1.0,28.0,t,"Joatinga, Rio de Janeiro, Brazil",Joá,Entire home,Entire home/apt,10,4.0,4.0,8.0,2697.0,3,365,3,3,365,365,t,16,44,67,342,37,1,0,2011-11-27,2024-11-24,4.95,4.86,4.95,4.92,4.92,4.89,4.67,f,1,1,0,0,0.23,458.49
