,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
2,2,city scrape,Comfort em Copacabana,2011-11-20,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,6.0,6.0,t,,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,2.0,1146.0,2,30,2,4,1125,1125,t,26,56,86,333,32,3,0,2014-07-01,2024-05-06,5.0,5.0,4.94,4.94,5.0,4.97,4.94,t,5,3,2,0,0.25,194.82000000000002
13,13,city scrape,Bright 6bed Penthouse Seconds from Beach,2010-01-16,"Rio de Janeiro, Brazil",within an hour,100%,94%,t,Ipanema,7.0,33.0,t,"Ipanema, Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,13,7.0,6.0,7.0,3532.0,7,89,4,15,89,89,t,23,35,51,319,180,16,0,2011-03-02,2024-10-01,4.76,4.73,4.72,4.84,4.84,4.95,4.59,t,6,5,1,0,1.07,600.44
15,15,city scrape,Djalma Ocean View Studio with Amazing Views,2010-09-05,"Mesa, AZ",within an hour,94%,96%,t,Copacabana,12.0,18.0,t,,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,580.0,4,90,4,5,1125,1125,t,2,12,32,161,177,20,2,2012-11-24,2024-12-15,4.84,4.88,4.69,4.9,4.94,4.9,4.75,t,11,11,0,0,1.2,98.60000000000001
26,26,city scrape,400 meters from Leme beach | Pi401,2011-11-07,"Rio de Janeiro, Brazil",within an hour,100%,98%,,Copacabana,54.0,214.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,943.0,1,1125,1,5,1125,1125,t,1,30,45,299,126,10,0,2012-01-03,2024-11-07,4.53,4.65,4.69,4.81,4.77,4.55,4.49,t,11,10,1,0,0.8,160.31
30,30,city scrape,Perfect Copacabana near Ipanema,2010-09-21,Brazil,within an hour,100%,97%,t,Copacabana,5.0,20.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,,1.0,2.0,280.0,5,365,5,5,1125,1125,t,8,23,24,24,44,7,3,2011-02-06,2024-12-24,4.54,4.84,4.65,4.91,4.74,4.91,4.63,t,4,4,0,0,0.26,47.6
32,32,city scrape,Studio Apart  for rent in ipanema.,2010-12-27,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,2.0,2.0,t,"Rio, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,743.0,3,89,3,3,1125,1125,t,7,11,21,270,329,36,1,2011-03-20,2024-12-01,4.89,4.93,4.88,4.95,4.94,4.85,4.82,t,2,2,0,0,1.96,126.31
55,55,city scrape,IPANEMA  QUARTO + BANHEIRO PRIVADO,2011-04-06,"Rio de Janeiro, Brazil",,,,f,Ipanema,1.0,4.0,t,"Rio de janeiro , Rio de Janeiro, Brazil",Ipanema,Private room in rental unit,Private room,2,1.0,1.0,1.0,270.0,3,30,3,3,1125,1125,t,0,0,0,1,167,0,0,2012-01-06,2020-02-27,4.89,4.94,4.99,4.96,4.87,4.93,4.77,t,1,0,1,0,1.06,45.900000000000006
61,61,city scrape,Lapa Archs | Santa Teresa best studio for 2 people,2011-04-20,"Rio de Janeiro, Brazil",within a few hours,100%,100%,t,Lapa,2.0,27.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,3,1.0,0.0,4.0,301.0,2,89,2,5,28,1125,t,22,47,66,66,69,3,0,2013-03-10,2024-05-07,4.6,4.75,4.66,4.85,4.82,4.7,4.57,t,2,2,0,0,0.48,51.17
63,63,city scrape,"Copacabana, Cozy and Central",2011-10-18,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,4.0,5.0,t,"Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,3,1.0,1.0,2.0,369.0,2,7,2,5,1125,1125,t,2,24,43,199,144,37,1,2012-02-26,2024-12-21,4.98,4.94,4.93,4.98,4.97,4.94,4.87,t,4,1,3,0,0.92,62.730000000000004
68,68,city scrape,Studio em Santa Teresa/Lapa,2011-06-11,"Rio de Janeiro, Brazil",,,100%,f,Lapa,1.0,1.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire guesthouse,Entire home/apt,3,1.0,1.0,2.0,407.0,2,1125,2,2,1125,1125,t,19,48,69,344,82,2,0,2012-10-31,2024-02-14,4.91,4.89,4.81,5.0,4.98,4.86,4.81,t,1,1,0,0,0.55,69.19000000000001
73,73,city scrape,Nice 1 BR Apartment in Copacabana,2011-04-19,"Newport Beach, CA",within a few hours,90%,100%,f,Copacabana,1.0,28.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,303.0,3,120,3,3,1125,1125,t,10,37,49,324,196,20,1,2011-05-29,2024-12-09,4.67,4.77,4.65,4.8,4.79,4.83,4.59,t,1,1,0,0,1.18,51.510000000000005
85,85,city scrape,excellent studio apartment,2011-05-30,,,,,f,Copacabana,1.0,1.0,t,"Copacabana, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,1,0.0,0.0,2.0,180.0,3,720,3,3,720,720,t,0,0,0,0,1,0,0,2019-02-16,2019-02-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.01,30.6
