,Unnamed: 0,source,name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,precio_usd
88,88,city scrape,Leblon House Very sophisticated in the mettle of L,2011-05-28,"Rio de Janeiro, Brazil",within an hour,100%,98%,t,Consolacao,16.0,24.0,t,,Leblon,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,4164.0,2,366,2,2,366,366,t,10,28,47,316,39,2,0,2011-08-06,2024-08-05,4.95,4.89,4.92,4.95,5.0,5.0,4.76,t,8,8,0,0,0.24,707.88
91,91,city scrape,"2BR, 2 blocks from Ipanema Beach",2011-06-06,"New York, NY",within an hour,100%,100%,f,Ipanema,2.0,2.0,t,,Ipanema,Entire rental unit,Entire home/apt,4,,3.0,5.0,472.0,3,365,3,3,365,365,t,0,0,9,99,43,6,0,2011-07-27,2024-09-27,4.6,4.5,4.43,4.45,4.43,4.9,4.6,t,1,1,0,0,0.26,80.24000000000001
110,110,city scrape,THE BEST OF IPANEMA I - ONE BEDROOM,2012-01-24,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,5.0,9.0,t,,Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1233.0,4,90,4,4,1125,1125,t,4,11,30,228,267,18,0,2012-04-25,2024-10-31,4.94,4.93,4.86,4.98,4.96,4.98,4.87,t,5,5,0,0,1.73,209.61
111,111,city scrape,Quarto aconchegante em Ipanema.,2012-01-13,"Rio de Janeiro, Brazil",within an hour,100%,89%,f,Ipanema,1.0,1.0,t,"Rio de Janeiro, Brazil",Ipanema,Private room in rental unit,Private room,1,1.0,1.0,1.0,467.0,3,15,3,3,1125,1125,t,22,52,68,68,21,4,0,2014-01-03,2024-09-23,4.76,4.71,4.76,4.76,4.9,4.81,4.67,t,1,0,1,0,0.16,79.39
114,114,city scrape,Rio from the hill!,2011-04-09,"Rio de Janeiro, Brazil",within an hour,100%,84%,f,Botafogo,11.0,13.0,t,,Botafogo,Private room in home,Private room,2,2.0,1.0,1.0,337.0,7,700,7,7,1125,1125,t,24,54,84,359,16,0,0,2013-04-04,2022-11-10,4.87,4.73,4.6,4.93,5.0,4.53,4.73,t,10,6,4,0,0.11,57.290000000000006
116,116,city scrape,2BR Cosy Apt w/Pool in Santa Teresa,2012-01-30,Brazil,within a day,86%,100%,f,Santa Teresa,2.0,5.0,t,,Santa Teresa,Entire rental unit,Entire home/apt,16,5.0,6.0,16.0,5874.0,3,30,3,3,30,30,t,30,60,90,365,13,1,0,2012-06-25,2024-11-19,3.75,3.69,4.0,4.38,4.46,4.0,3.85,t,1,1,0,0,0.09,998.58
132,132,city scrape,"Copacabana, internet wifi, air",2010-09-21,Brazil,within an hour,100%,97%,t,Copacabana,5.0,20.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,1000.0,4,100,3,6,100,100,t,4,9,25,25,49,24,4,2012-03-11,2024-12-27,4.85,4.91,4.91,4.89,4.77,4.89,4.81,t,4,4,0,0,0.31,170.0
133,133,city scrape,Beautiful Apartment in Leblon,2011-11-28,"Rio de Janeiro, Brazil",within an hour,98%,99%,t,Leblon,5.0,5.0,t,"Rio de Janeiro, Brazil",Leblon,Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,900.0,4,90,2,7,1125,1125,t,4,20,29,105,276,38,1,2012-04-15,2024-12-11,4.84,4.85,4.93,4.92,4.88,4.95,4.71,t,4,4,0,0,1.78,153.0
139,139,city scrape,Comfortable room in Flamengo / RIO,2011-09-13,"Rio de Janeiro, Brazil",,,,f,Flamengo,1.0,1.0,t,,Flamengo,Private room in rental unit,Private room,2,1.0,1.0,1.0,809.0,2,760,2,2,760,760,t,29,59,89,364,0,0,0,,,,,,,,,,t,1,0,1,0,,137.53
141,141,city scrape,Varandão Atelier Lounge Sta. Teresa,2011-09-09,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Santa Teresa,2.0,2.0,t,,Santa Teresa,Entire loft,Entire home/apt,4,1.0,1.0,1.0,220.0,2,30,2,2,1125,1125,t,8,31,40,305,450,19,1,2012-06-11,2024-12-09,4.83,4.87,4.74,4.94,4.87,4.76,4.78,t,2,2,0,0,2.95,37.400000000000006
143,143,city scrape,Modern Loft 1 • Ipanema Posto 9 • 500  mb,2011-04-12,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Ipanema,7.0,8.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire loft,Entire home/apt,2,1.0,1.0,1.0,850.0,1,730,1,9,1125,1125,t,23,26,43,318,485,22,2,2011-10-06,2024-12-03,4.81,4.83,4.74,4.95,4.98,4.97,4.72,t,7,7,0,0,3.01,144.5
147,147,city scrape,AMAZING BEACH FRONT IN COPACABANA,2010-09-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Copacabana,4.0,8.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,2800.0,2,28,2,3,1125,1125,t,9,25,41,312,380,27,0,2012-03-05,2024-11-24,4.86,4.88,4.78,4.95,4.96,4.96,4.77,t,3,3,0,0,2.43,476.00000000000006
154,154,previous scrape,"Beautiful Three Bedroom, two Blocks From The Beach",2010-09-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Copacabana,4.0,8.0,t,"Rio, Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,,3.0,,,2,90,2,3,1125,1125,t,4,18,38,290,124,15,1,2011-11-17,2024-12-01,4.8,4.85,4.86,4.85,4.91,4.79,4.67,t,3,3,0,0,0.78,
165,165,city scrape,"Quarto em Copacabana, central e perto da praia",2011-10-18,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,4.0,5.0,t,"Rio, Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,2,1.0,1.0,1.0,407.0,2,7,2,5,1125,1125,t,9,24,35,76,200,18,1,2012-03-01,2024-12-01,4.89,4.85,4.89,4.96,4.96,4.87,4.81,t,4,1,3,0,1.28,69.19000000000001
167,167,city scrape,Garden Studio - Home away from Home,2011-10-29,Brazil,within an hour,100%,100%,t,Santa Teresa,1.0,2.0,t,"Santa Teresa, Rio de Janeiro, Brazil",Santa Teresa,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,564.0,3,90,3,4,1125,1125,t,1,1,19,198,255,20,1,2012-04-02,2024-11-30,4.81,4.85,4.75,4.96,4.97,4.75,4.76,t,1,1,0,0,1.64,95.88000000000001
203,203,city scrape,Beautiful  2 Bedrooms in Ipanema with Car Parking,2011-11-28,"Rio de Janeiro, Brazil",within an hour,98%,99%,t,Leblon,5.0,5.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,5,1.0,1.0,1.0,957.0,4,1125,2,7,1125,1125,t,7,10,25,289,378,39,1,2012-09-22,2024-12-06,4.81,4.83,4.89,4.88,4.91,4.92,4.72,t,4,4,0,0,2.53,162.69
206,206,city scrape,Copacabana Penthouse Duplex 4 rooms,2011-12-26,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,10.0,10.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,8,4.5,4.0,7.0,3929.0,1,365,1,1,365,365,t,10,28,49,320,204,27,1,2015-12-08,2024-12-22,4.8,4.69,4.74,4.92,4.93,4.94,4.6,t,9,8,1,0,1.85,667.9300000000001
207,207,city scrape,Quarto familiar em Copacabana,2012-05-22,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Private room in rental unit,Private room,2,1.0,1.0,2.0,148.0,2,10,2,2,1125,1125,t,19,44,61,336,141,10,1,2012-12-31,2024-12-08,4.89,4.89,4.9,4.95,4.9,4.81,4.79,t,2,0,2,0,0.97,25.16
208,208,city scrape,Casablanca 1 Mediterranean Style Beachfront House,2012-05-23,"Rio de Janeiro, Brazil",within an hour,98%,100%,t,Vidigal,3.0,5.0,t,"Rio de Janeiro, Brazil",Vidigal,Entire home,Entire home/apt,2,1.0,1.0,1.0,671.0,2,180,2,2,1125,1125,t,3,5,9,189,697,70,7,2012-10-08,2024-12-21,4.89,4.89,4.93,4.93,4.93,4.71,4.88,t,3,3,0,0,4.68,114.07000000000001
219,219,city scrape,Duplex Penthouse in Ipanema,2012-05-31,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Ipanema,2.0,2.0,t,,Ipanema,Entire rental unit,Entire home/apt,8,3.0,2.0,4.0,1790.0,3,1125,3,5,1125,1125,t,13,27,51,51,192,0,0,2012-06-20,2023-12-26,4.3,4.34,4.48,4.66,4.6,4.49,4.4,t,2,2,0,0,1.26,304.3
228,228,city scrape,LOVELY APARTMENT IN COPACABANA BEACH (2 Block),2012-04-23,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,4.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1444.0,3,89,3,7,89,89,t,0,5,19,268,209,34,1,2012-07-04,2024-12-22,4.93,4.92,4.95,4.98,4.93,4.81,4.83,t,1,1,0,0,1.37,245.48000000000002
231,231,city scrape,Small room with privacy,2012-06-03,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Botafogo,3.0,4.0,t,"Rio de Janeiro, Brazil",Botafogo,Private room in rental unit,Private room,1,1.0,1.0,1.0,140.0,3,30,3,3,30,30,t,15,45,70,345,73,5,0,2013-11-25,2024-09-23,4.74,4.67,4.74,4.92,4.88,4.85,4.72,t,3,0,3,0,0.54,23.8
241,241,city scrape,Nano apt - Ipanema Posto 9 - 500  mb,2011-04-12,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Ipanema,7.0,8.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire loft,Entire home/apt,2,1.0,1.0,1.0,631.0,1,1125,1,9,1125,1125,t,4,28,45,320,442,29,3,2012-11-07,2024-12-22,4.74,4.75,4.64,4.92,4.94,4.97,4.65,t,7,7,0,0,2.99,107.27000000000001
245,245,city scrape,PRIME APARTMENT IN IPANEMA BEACH,2011-01-07,"Miami Beach, FL",within an hour,100%,100%,f,Ipanema,1.0,2.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,1445.0,3,120,3,3,1125,1125,t,4,15,24,114,260,14,0,2012-10-21,2024-09-23,4.69,4.66,4.5,4.86,4.84,4.89,4.58,t,1,1,0,0,1.75,245.65
249,249,city scrape,Amazing 2 Bdr - 2 steps from Subway of Botafogo,2012-06-21,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Botafogo,3.0,3.0,t,"Rio de Janeiro, Brazil",Botafogo,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,663.0,2,90,2,6,1125,1125,t,22,52,82,357,338,26,3,2012-11-29,2024-12-15,4.88,4.89,4.89,4.95,4.87,4.93,4.78,t,3,3,0,0,2.3,112.71000000000001
258,258,city scrape,IPANEMA BEACH COURT-RENOVATED,2012-11-05,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Ipanema,1.0,2.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,850.0,4,30,4,7,30,30,t,0,13,34,59,341,40,3,2012-11-28,2024-12-26,4.72,4.72,4.82,4.92,4.88,4.96,4.56,t,1,1,0,0,2.32,144.5
268,268,city scrape,Studio 1 Apartment in Copacabana,2012-04-17,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,482.0,3,30,3,4,1125,1125,t,4,18,18,78,134,25,3,2012-11-19,2024-12-23,4.53,4.64,4.46,4.84,4.85,4.86,4.54,t,1,1,0,0,0.91,81.94000000000001
282,282,city scrape,"40m da Praia Ipanema, Silencioso",2012-07-19,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,6.0,13.0,t,"Rio de Janeiro, Brazil",Ipanema,Entire rental unit,Entire home/apt,3,1.5,1.0,2.0,1129.0,10,80,5,10,80,80,t,1,13,29,209,225,21,3,2012-08-09,2024-12-20,4.91,4.93,4.89,4.97,4.95,5.0,4.77,t,4,4,0,0,1.49,191.93
291,291,city scrape,"Leblon, av Cupertino, near beach with 24h doorman,",2011-05-28,"Rio de Janeiro, Brazil",within an hour,100%,98%,t,Consolacao,16.0,24.0,t,,Leblon,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,2688.0,2,366,2,2,366,366,t,4,11,28,276,8,0,0,2020-12-14,2023-03-01,5.0,5.0,5.0,5.0,5.0,5.0,4.75,t,8,8,0,0,0.16,456.96000000000004
295,295,city scrape,THE BEST OF IPANEMA II-ONE BEDROOM,2012-01-24,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,5.0,9.0,t,,Ipanema,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1348.0,4,365,4,4,1125,1125,t,0,2,2,210,248,23,1,2013-02-13,2024-11-28,4.92,4.96,4.9,4.97,4.97,4.99,4.84,t,5,5,0,0,1.72,229.16000000000003
304,304,previous scrape,Suíte para 5 pessoas em Botafogo,2012-08-10,"Rio de Janeiro, Brazil",a few days or more,22%,24%,f,Botafogo,6.0,10.0,t,,Botafogo,Private room in bed and breakfast,Private room,6,,1.0,,,1,365,1,4,365,365,t,17,47,73,307,12,1,0,2021-06-26,2024-03-30,3.92,3.83,4.17,4.17,4.33,4.67,4.17,t,3,0,3,0,0.28,
307,307,city scrape,Apart hotel - COPACABANA beach,2012-08-29,"Rio de Janeiro, Brazil",,,100%,f,Copacabana,1.0,1.0,t,,Copacabana,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,579.0,1,1125,1,1,1125,1125,t,0,0,0,0,413,0,0,2012-09-10,2022-09-10,4.59,4.7,4.65,4.72,4.68,4.91,4.55,t,1,1,0,0,2.76,98.43
314,314,city scrape,Cosy studio in Copacabana (posto 5),2012-12-04,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,2.0,2.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,761.0,3,30,3,5,30,30,t,3,9,10,10,118,1,0,2013-01-03,2024-02-21,4.78,4.85,4.83,4.93,4.94,4.85,4.64,t,2,2,0,0,0.81,129.37
321,321,city scrape,Studio in the heart of Copacabana,2012-12-09,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,2.0,t,,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,700.0,4,365,4,5,1125,1125,t,7,18,42,317,191,20,2,2013-01-02,2024-12-08,4.88,4.92,4.86,4.97,4.98,4.88,4.82,t,1,1,0,0,1.31,119.00000000000001
340,340,previous scrape,Copacabana Beautiful Studio Beside Ipanema,2012-12-16,"Rio de Janeiro, Brazil",within an hour,100%,100%,,Copacabana,8.0,14.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,2,,,,,4,300,4,7,1125,1125,t,0,0,0,0,336,8,0,2013-01-03,2024-07-05,4.89,4.93,4.93,4.93,4.94,4.85,4.83,t,1,1,0,0,2.3,
341,341,city scrape,THE BEST OF IPANEMA 2 BEDROOMS,2012-01-24,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Ipanema,5.0,9.0,t,,Ipanema,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1252.0,4,90,4,4,1125,1125,t,6,11,11,80,201,3,0,2013-01-18,2024-08-01,4.88,4.92,4.84,4.97,4.97,4.98,4.83,t,5,5,0,0,1.38,212.84
345,345,city scrape,Apart in the heart of Copacabana,2012-10-05,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Copacabana,3.0,3.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,954.0,2,365,2,2,1125,1125,t,16,46,73,348,463,31,3,2013-02-26,2024-12-09,4.85,4.91,4.9,4.95,4.93,4.88,4.75,t,3,3,0,0,3.21,162.18
347,347,city scrape,45% OFF Christmas! Penthouse 5Min Copacabana Beach,2012-10-08,"Rio de Janeiro, Brazil",within an hour,95%,98%,t,Copacabana,13.0,14.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire rental unit,Entire home/apt,10,4.5,5.0,6.0,4750.0,2,30,1,4,1125,1125,t,1,9,24,79,119,11,0,2015-09-22,2024-10-16,4.76,4.86,4.38,4.93,4.86,4.79,4.75,t,12,12,0,0,1.05,807.5000000000001
352,352,city scrape,Leblon Niemeyer ave. Golden Bricks House,2012-12-07,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Vidigal,1.0,1.0,t,,Vidigal,Entire home,Entire home/apt,11,3.0,5.0,9.0,1600.0,3,1125,3,5,1125,1125,t,6,22,41,123,145,10,0,2013-07-11,2024-10-21,4.84,4.88,4.88,4.94,4.97,4.55,4.84,t,1,1,0,0,1.04,272.0
354,354,city scrape,Copacacabana and Ipanema Beach!,2012-12-22,"Rio de Janeiro, Brazil",within an hour,70%,100%,f,,1.0,1.0,t,,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,4.0,486.0,2,1125,2,2,1125,1125,t,3,9,11,11,402,43,1,2013-01-02,2024-12-04,4.37,4.6,4.21,4.75,4.57,4.82,4.46,t,1,1,0,0,2.75,82.62
360,360,city scrape,"Rio in the tropics, Alto Boa Vista",2012-12-27,"Rio de Janeiro, Brazil",within an hour,100%,98%,t,Copacabana,4.0,4.0,t,,Alto da Boa Vista,Private room in treehouse,Private room,2,1.0,1.0,1.0,1011.0,1,14,1,1,14,14,t,30,60,90,365,0,0,0,,,,,,,,,,t,4,3,1,0,,171.87
378,378,city scrape,Beautiful 4BR duplex penthouse,2013-01-07,,within an hour,100%,99%,t,Copacabana,8.0,9.0,t,"Rio de Janeiro, Rj, Brazil",Copacabana,Entire rental unit,Entire home/apt,9,4.0,4.0,5.0,24243.0,2,90,2,2,90,1125,t,4,10,15,200,120,18,0,2014-05-27,2024-11-27,4.75,4.76,4.77,4.88,4.8,4.92,4.62,t,7,7,0,0,0.93,4121.31
394,394,city scrape,Apartment Almirante 702 - 1 Minute from Copacabana,2013-01-03,"Rio de Janeiro, Brazil",within an hour,90%,100%,f,Copacabana,13.0,33.0,t,,Copacabana,Private room in rental unit,Private room,5,1.0,1.0,3.0,679.0,3,90,3,7,90,1125,t,5,12,29,219,91,7,1,2013-09-22,2024-12-22,4.66,4.75,4.4,4.89,4.79,4.82,4.67,t,11,9,2,0,0.66,115.43
395,395,city scrape,Apartament Almirante AG1102,2013-01-03,"Rio de Janeiro, Brazil",within an hour,90%,100%,f,Copacabana,13.0,33.0,t,,Copacabana,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,2351.0,3,90,3,7,90,1125,t,4,17,34,225,40,2,0,2013-03-25,2024-09-26,4.47,4.61,4.5,4.66,4.58,4.79,4.41,t,11,9,2,0,0.28,399.67
396,396,city scrape,Apartment AG1204 - 1 Minute from Copacabana Beach,2013-01-03,"Rio de Janeiro, Brazil",within an hour,90%,100%,f,Copacabana,13.0,33.0,t,,Copacabana,Entire rental unit,Entire home/apt,6,1.0,1.0,3.0,630.0,3,90,3,7,90,1125,t,4,14,28,212,51,11,0,2013-08-12,2024-10-06,4.71,4.9,4.71,4.86,4.86,4.92,4.76,t,11,9,2,0,0.37,107.10000000000001
408,408,city scrape,"Copacabana best renovated 2024 , air, tv 50,sheet",2011-06-07,"Rio de Janeiro, Brazil",within an hour,100%,100%,t,Copacabana,1.0,1.0,t,"Rio de Janeiro, Brazil",Copacabana,Entire condo,Entire home/apt,6,2.0,2.0,3.0,1356.0,4,90,3,3,1125,1125,t,7,15,32,76,105,12,0,2013-07-11,2024-11-26,4.78,4.86,4.59,4.92,4.86,4.76,4.75,t,1,1,0,0,0.75,230.52
410,410,city scrape,Melhor apto da Lapa / Maq de Lavar / 2 Camas Casal,2013-01-15,"Rio de Janeiro, Brazil",within an hour,100%,99%,t,Lapa,5.0,6.0,t,"Rio de Janeiro, Brazil",Santa Teresa,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,464.0,2,250,1,2,1125,1125,t,1,19,38,311,306,34,3,2013-03-03,2024-12-08,4.46,4.49,4.26,4.8,4.81,4.7,4.61,t,3,3,0,0,2.13,78.88000000000001
430,430,city scrape,Flat with a great view of Rio!,2013-01-23,"Rio de Janeiro, Brazil",within an hour,100%,100%,f,Estacio,1.0,1.0,t,"Rio de Janeiro, Brazil",Estácio,Private room in rental unit,Private room,2,1.0,2.0,1.0,364.0,2,30,2,2,30,30,t,22,51,70,345,12,2,0,2014-03-06,2024-02-14,4.58,4.83,4.58,4.75,4.58,4.33,4.5,t,1,0,1,0,0.09,61.88
